index,Website,타이틀,설명,Cnt,기타,환경정책,지구환경,환경보건,자원순환,기후변화,자연환경,환경영향평가,대기환경,물환경,KR_Keywords,EN_Keywords,CID
9985,https://rawris.ekr.or.kr/.,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
10867,http://w.millenniumassessment.org/en/Framework.html,,,1,0,0,0,0,0,0,0,0,0,1,",물환경서비스, 물인프라, 지속가능성 평가체계, 경제-사회-환경 지속가능성 시스템, 자산관리",",Sustainability Assessment, Water Infrastructure, Water Service, Asset Management, Triple Bottom Line",",707838"
10870,http://www.kosis.kr.,,,1,0,0,0,0,0,0,0,0,0,1,",물환경서비스, 물인프라, 지속가능성 평가체계, 경제-사회-환경 지속가능성 시스템, 자산관리",",Sustainability Assessment, Water Infrastructure, Water Service, Asset Management, Triple Bottom Line",",707838"
9974,http://www1.president.go.kr/policy/.,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
9973,http://tradedoctor.kotra.or.kr/bp/cn/gw/BPCNGW011M.html?BBS_ID=19&ARTICLE_ID=5022179,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
9972,http://www.climatefundsupdate.org/data.,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
9971,http://www.who.int/mediacentre/factsheets/.,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
10871,http://www.cleaneye.go.kr.,,,1,0,0,0,0,0,0,0,0,0,1,",물환경서비스, 물인프라, 지속가능성 평가체계, 경제-사회-환경 지속가능성 시스템, 자산관리",",Sustainability Assessment, Water Infrastructure, Water Service, Asset Management, Triple Bottom Line",",707838"
9970,http://web.kma.go.kr/.,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
9969,http://www.esco.or.kr/.,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
10872,http://www.egis.go.kr,,,1,0,0,0,0,0,0,0,0,0,1,",물환경서비스, 물인프라, 지속가능성 평가체계, 경제-사회-환경 지속가능성 시스템, 자산관리",",Sustainability Assessment, Water Infrastructure, Water Service, Asset Management, Triple Bottom Line",",707838"
10873,http://www.kwater.or.kr/news/sub03,,,1,0,0,0,0,0,0,0,0,0,1,",물환경서비스, 물인프라, 지속가능성 평가체계, 경제-사회-환경 지속가능성 시스템, 자산관리",",Sustainability Assessment, Water Infrastructure, Water Service, Asset Management, Triple Bottom Line",",707838"
10875,https://www.hasudoinfo.or.kr/stat/selectDataList.do,,,1,0,0,0,0,0,0,0,0,0,1,",물환경서비스, 물인프라, 지속가능성 평가체계, 경제-사회-환경 지속가능성 시스템, 자산관리",",Sustainability Assessment, Water Infrastructure, Water Service, Asset Management, Triple Bottom Line",",707838"
10876,http://www.water.nier.go.kr.,,,1,0,0,0,0,0,0,0,0,0,1,",물환경서비스, 물인프라, 지속가능성 평가체계, 경제-사회-환경 지속가능성 시스템, 자산관리",",Sustainability Assessment, Water Infrastructure, Water Service, Asset Management, Triple Bottom Line",",707838"
10877,http://www.kwater.go.kr.,,,1,0,0,0,0,0,0,0,0,0,1,",물환경서비스, 물인프라, 지속가능성 평가체계, 경제-사회-환경 지속가능성 시스템, 자산관리",",Sustainability Assessment, Water Infrastructure, Water Service, Asset Management, Triple Bottom Line",",707838"
10878,http://www.old.busan.go.kr,,,1,0,0,0,0,0,0,0,0,0,1,",물환경서비스, 물인프라, 지속가능성 평가체계, 경제-사회-환경 지속가능성 시스템, 자산관리",",Sustainability Assessment, Water Infrastructure, Water Service, Asset Management, Triple Bottom Line",",707838"
10879,http://dev.cedar.kr:8040,,,1,0,0,0,0,0,0,0,0,0,1,",물환경서비스, 물인프라, 지속가능성 평가체계, 경제-사회-환경 지속가능성 시스템, 자산관리",",Sustainability Assessment, Water Infrastructure, Water Service, Asset Management, Triple Bottom Line",",707838"
10880,http://www.fms.or.kr.,,,1,0,0,0,0,0,0,0,0,0,1,",물환경서비스, 물인프라, 지속가능성 평가체계, 경제-사회-환경 지속가능성 시스템, 자산관리",",Sustainability Assessment, Water Infrastructure, Water Service, Asset Management, Triple Bottom Line",",707838"
9968,http://www.ddaily.co.kr/news/article.html?no=117466,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
