C_ID,CLASS_ID,CLASS_NAME,RECORD_STATE,CREATE_DATE,MODIFY_DATE,DC_IDENTIFIER,DC_TYPE,KEI_TITLEKOREA,KEI_TITLEENGLISH,KEI_ALTERNATIVETITLEKOREA,KEI_ALTERNATIVETITLEENGLISH,KEI_SERIESMAINTITLE,KEI_SERIESNUMBER,KEI_AUTHORKOREA,KEI_AUTHORENGLISH,KEI_COAUTHORKOREA,KEI_COAUTHORENGLISH,KEI_COPERATEMANAGERKOREA,KEI_COPERATEMANAGERENGLISH,KEI_COPERATEAGENT,KEI_PUBLISHER,KEI_PUBYEAR,KEI_AGENTNAME,KEI_RESEARCHAREA,DC_LANGUAGE,KEI_OPENMETA,KEI_OPENIMAGE,KEI_TOTALPAGECOUNT,KEI_KEYWORDKOREA,KEI_KEYWORDENGLISH,SERVICE_URI
652838,6,수시연구,u,19990329,20120116,A 환1185 1998 WO-05,수시연구,외래종 유입에 대한 환경정책 추진방향,Environmental Policy for managing the non-indigenous Species,,,정책보고서,May-98,박용하,"Park, Yong-Ha","이상돈, 김정원","Lee, Sang-Don, Kim, Jeong-Won",,,,한국환경정책·평가연구원,19981230,,자연환경,한국어,,,"xi, 396p.",,Animal introduction,http://library.kei.re.kr/dmme/img/001/003/001/[98_정책]WO-05외래종유입(박용하).pdf
652839,6,수시연구,u,19990329,20120116,A 환1185 1998 WO-06,수시연구,환경과 정치,Environment and Policy - Resolving the Environmental Conflict of Weichen Industrial Park in the Nakdong Watershed,낙동강·위천공단문제의 해결방안 모색,,정책보고서,Jun-98,최지용,"Choi, Ji-Yong",,,,,,한국환경정책·평가연구원,19981230,,정책일반,한국어,,,194p.,,Not-in-my-bardyard syndrome,http://library.kei.re.kr/dmme/img/001/003/001/[98_정책]WO-06환경과 정치(최지용).pdf
653048,6,수시연구,u,19990407,20120116,A 환1185 1998 WO-07,수시연구,쓰레기 종량제 평가와 개선방안,Evaluation and Reformation of the Volume-Based Collection Fee System,,,정책보고서,Jul-98,김광임,"Kim, Kwang-Yim",,,,,,한국환경정책·평가연구원,19980101,,폐기물관리,한국어,,,"vii, 122p.",,Waste management,http://library.kei.re.kr/dmme/img/001/003/001/[98_정책]WO-07종량제(김광임).pdf
653049,4,기본연구,u,19990407,20170703,A 환1185 1998 RE-21,기본연구,수계시스템을 고려한 수질개선 종합대책,Development of Water Quality Management Schemes Based on a Watershed System,한강유역을 중심으로,,연구보고서,98-21,최지용,"Choi, Ji-yong","김강석,문현주,이창희,염규진",,,,,한국환경정책·평가연구원,19981230,,물환경,한국어,,,"vii, 230p.",,Watershed management,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE21]수계시스템(최지용).pdf
653050,4,기본연구,u,19990407,20120113,A 환1185 1998 RE-18,기본연구,대기오염 건강피해에 관한 연구,Research on the Effect of Air Pollution on Health,,,연구보고서,98-18,한화진,"Han, Wha-Jin",오소영,,,,,한국환경정책·평가연구원,19981230,,대기환경,한국어,,,"iv, 137p.",,Public health,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE18]대기오염건강피해(한화진).pdf
653051,4,기본연구,u,19990407,20120116,A 환1185 1998 RE-17,기본연구,환경오염계정 작성에 관한 연구,Compilation of Environmental Emission Accounts,,,연구보고서,98-17,김승우,"Kim, Seung-Woo",최용재,,,,,한국환경정책·평가연구원,19981230,,정책일반,한국어,,,"iv, 134p.",,National income- Accounting.,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE17]환경오염계정(김승우).pdf
653052,4,기본연구,u,19990407,20120117,A 환1185 1998 RE-15,기본연구,기후변화협약 대응을 위한 국내산업 체질 개선방안,Study on Industrial Reform in Response to the FCCC (Framework Convention on Climate Change),제조업 이산화탄소 원단위 분석을 중심으로,,연구보고서,98-15,김승우,"Kim,Seung-Woo","강상인,김태완,김용건,손양훈",,,,,한국환경정책·평가연구원,19981230,,지구환경,한국어,,,"vii, 131p.",,Industries-Energy conservation-Environmental aspects.,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE15]기후변화협약(김승우).pdf
653053,4,기본연구,u,19990407,20120116,A 환1185 1998 RE-10,기본연구,환경친화적인 조세체계 구축에 관한 연구Ⅱ,Green Tax reform in Korea II,환경비친화적인 보조금 추계 및 환경친화적인 조세개혁 방안을 중심으로,,연구보고서,Oct-98,노상환,"Lho, Sang-Hwan",임현정,"Im, Hyun-Jung",,,,한국환경정책·평가연구원,19981230,,정책일반,한국어,,,"vii, 140p.",,Taxation- Environmental aspects,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE10](조세체계(노상환).pdf
653057,4,기본연구,u,19990408,20120113,A 환1185 1998 RE-26,기본연구,멸종위기 야생동·식물의 보호방안,Environmental policy for conservation of the endangered speices,,,연구보고서,98-26,이상돈,"Lee, Sang-don","박용하,서정수",,,,,한국환경정책·평가연구원,19981230,,자연환경,한국어,,,"vi, 210p.",,Wildlife conservation,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE26]멸종위기야생동식물(이상돈).pdf
653410,4,기본연구,u,19990503,20120116,A 환1185 1998 RE-11,기본연구,환경예산과 정책목표,Environmental Budget and Policy Objectives,,,연구보고서,Nov-98,노상환,"Lho, Sang-Hwan",,,,,,한국환경정책·평가연구원,19981230,,정책일반,한국어,,,"ix, 361p.",,Public finances- Environmental aspects,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE11]환경예산(노상환).pdf
